Prefixo;grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration;percent_reune;emissor
consultoria;IPCA SPREAD;SMTO24;2026-05-19;2037-01-15;IPCA + 6,1076%;8.4305;8.1965;8.2872;0.13;8.15;8.41;1074.061562;86.44;1777.0;--;SAO MARTINHO S/A
consultoria;IPCA SPREAD;SPRZ11;2026-05-19;2030-09-15;IPCA + 6,7968%;7.7075;7.41;7.5311;0.23;7.3;7.76;694.460259;98.68;484.0;--;ESPERANZA TRANSMISSORA DE ENERGIA S.A (*)
consultoria;IPCA SPREAD;SRNA11;2026-05-19;2035-03-15;IPCA + 8,2427%;9.2209;8.716;8.9977;0.04;8.95;9.04;1026.309855;96.04;1457.0;--;SERENA ENERGIA S.A (*)
consultoria;IPCA SPREAD;SRTI11;2026-05-19;2032-12-15;IPCA + 7,0916%;8.3167;8.1507;8.2234;0.03;8.18;8.25;796.557941;96.97;731.0;--;SERTÃO I SOLAR ENERGIA SPE S.A.
consultoria;IPCA SPREAD;STRZ11;2026-05-19;2039-03-15;IPCA + 6,9343%;8.0832;7.9524;8.0364;0.05;7.97;8.09;1017.285604;94.48;1377.0;--;VENTOS DE SANTA TEREZA 07 ENERGIAS RENOVAVEIS S.A. (*)
consultoria;IPCA SPREAD;SUZBA0;2026-05-19;2038-09-15;IPCA + 6,1889%;7.6228;7.3091;7.4507;0.04;7.4;7.49;1043.748512;90.85;2024.0;5%;SUZANO S.A. (*)
consultoria;IPCA SPREAD;TAEEA2;2026-05-19;2036-05-15;IPCA + 4,7605%;7.7972;7.4957;7.6537;0.06;7.59;7.71;1093.977686;82.01;1808.0;--;TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A
consultoria;DI SPREAD;TAEEA5;2026-05-19;2029-03-15;DI + 0,6300%;0.7657;0.4629;0.6051;0.02;0.57;0.63;1025.215957;100.05;592.0;--;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A. (*)
consultoria;IPCA SPREAD;TAEEB0;2026-05-19;2040-12-15;IPCA + 6,4712%;7.5402;7.2763;7.4062;0.01;7.39;7.42;949.020242;89.89;3068.0;--;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A. (*)
consultoria;IPCA SPREAD;TAEEB8;2026-05-19;2035-07-15;IPCA + 7,0564%;7.8812;7.5324;7.6897;0.04;7.64;7.73;1056.628584;96.41;1556.0;15%;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A. (*)
consultoria;IPCA SPREAD;TAEEC2;2026-05-19;2032-04-15;IPCA + 5,7500%;7.7741;7.4715;7.6097;0.05;7.55;7.66;1113.087059;92.82;1072.0;--;TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A
consultoria;DI SPREAD;TFLE19;2026-05-19;2030-05-28;DI + 1,3000%;1.3229;1.0541;1.1933;0.05;1.13;1.24;1074.565896;100.3;738.0;--;LOCALIZA FLEET S.A. (*)
consultoria;DI SPREAD;TFLEA3;2026-05-19;2028-12-20;DI + 1,8500%;1.5;1.0054;1.25;0.0;1.25;1.25;1076.442803;101.24;527.0;--;LOCALIZA FLEET S.A. (*)
consultoria;DI SPREAD;TFLEA9;2026-05-19;2032-09-09;DI + 1,2400%;1.3671;1.1362;1.238;0.03;1.2;1.27;1028.836141;100.0;955.0;45%;LOCALIZA FLEET S.A. (*)
consultoria;DI SPREAD;TFLEB5;2026-05-19;2030-11-04;DI + 1,5000%;1.2709;0.9388;1.1207;0.05;1.06;1.17;1094.299425;101.0;674.0;--;LOCALIZA FLEET S.A. (*)
consultoria;DI SPREAD;TIGR21;2026-05-19;2028-11-10;DI + 1,7000%;2.1981;0.9366;1.5885;0.02;1.56;1.61;1005.543687;100.19;442.0;5%;TIGRE S.A PARTICIPACOES (*)
consultoria;IPCA SPREAD;TIMS12;2026-05-19;2028-06-15;IPCA + 4,0432%;7.6484;7.1233;7.2312;0.25;6.97;7.48;1303.797974;96.86;253.0;--;TIM S.A.
consultoria;IPCA SPREAD;TNHL11;2026-05-19;2041-09-15;IPCA + 6,5865%;8.1443;8.0346;8.1086;0.04;8.06;8.15;1151.869742;92.01;1444.0;10%;TUCANO HOLDING III S.A (*)
consultoria;DI SPREAD;TOTS15;2026-05-19;2031-07-19;DI + 0,9500%;0.8658;0.5075;0.7137;0.04;0.66;0.76;1055.183012;100.65;697.0;--;TOTVS SA (*)
consultoria;DI SPREAD;TRPLA5;2026-05-19;2029-03-15;DI + 0,7300%;0.6843;0.3327;0.5229;0.14;0.37;0.67;1029.757094;100.48;591.0;--;ISA ENERGIA BRASIL S.A. (*)
consultoria;IPCA SPREAD;TRPLB4;2026-05-19;2038-10-15;IPCA + 6,4364%;7.8488;7.5632;7.7273;0.11;7.61;7.84;1033.342778;90.68;2020.0;--;ISA ENERGIA BRASIL S.A. (*)
consultoria;DI SPREAD;UNIPB0;2026-05-19;2035-07-18;DI + 1,3500%;1.8206;1.5681;1.7047;0.03;1.66;1.74;1032.745198;98.38;1170.0;--;UNIPAR CARBOCLORO S/A (*)
consultoria;DI SPREAD;UQFN15;2026-05-19;2031-06-13;DI + 1,3000%;2.4217;2.0823;2.243;0.09;2.14;2.34;1035.581115;97.31;738.0;--;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A (*)
consultoria;IPCA SPREAD;USAS11;2026-05-19;2028-02-15;IPCA + 6,8884%;9.6891;8.8748;8.9751;0.4;8.57;9.37;672.734803;97.66;307.0;5%;USINA SANTA ADÉLIA S.A.
consultoria;DI SPREAD;USIM29;2026-05-19;2029-12-09;DI + 1,6500%;1.7674;1.3773;1.5569;0.16;1.39;1.72;1070.641531;100.21;596.0;--;USINAS SIDERURGICAS DE MINAS GERAIS S/A - USIMINAS (*)
consultoria;IPCA SPREAD;VALED1;2026-05-19;2037-05-15;IPCA + 6,7946%;7.3813;7.1159;7.2325;0.04;7.18;7.27;1009.641721;96.82;1980.0;5%;VALE S/A (*)
consultoria;IPCA SPREAD;VAMO34;2026-05-19;2031-10-15;IPCA + 7,6897%;15.3784;;14.5479;0.96;13.58;15.51;1011.289418;79.52;920.0;--;VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A. (*)
consultoria;PREFIXADO;VERO15;2026-05-19;2032-07-15;PREFIXADO + 15,0331%;;;;;;;;;;--;VERO S.A. (*)
