grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
IPCA SPREAD;ECOV16;2026-06-16;2033-02-15;IPCA + 6,0950%;45%;CONCESSIONÁRIA ECOVIAS DOS IMIGRANTES S/A (*);8.9471;8.6713;8.7704;0.14;8.62;8.91;1021.114282;89.69;1089.0
DI SPREAD;EDPR23;2026-06-16;2032-12-10;DI + 0,6000%;--;EDP TRANSMISSAO GOIAS S.A. (*);0.9388;0.6506;0.7712;0.06;0.70;0.83;995.165597;99.29;1047.0
IPCA SPREAD;EEELA0;2026-06-16;2033-10-15;IPCA + 6,1774%;5%;CPFL TRANSMISSAO S.A (*);8.1074;7.7745;7.9391;0.08;7.85;8.01;1054.519833;91.75;1310.0
IPCA SPREAD;EGIE27;2026-06-16;2028-07-15;IPCA + 5,9033%;--;ENGIE BRASIL ENERGIA S.A.;8.1925;7.8707;7.9857;0.10;7.88;8.08;1567.159466;98.26;225.0
IPCA SPREAD;EGIE49;2026-06-16;2029-07-15;IPCA + 3,7000%;--;ENGIE BRASIL ENERGIA S.A.;8.3726;8.0657;8.2132;0.17;8.04;8.38;1366.296514;92.00;489.0
IPCA SPREAD;EGIEA6;2026-06-16;2038-02-15;IPCA + 6,2474%;5%;ENGIE BRASIL ENERGIA S.A. (*);7.5481;7.3940;7.4688;0.05;7.41;7.52;947.801461;91.34;1978.0
PREFIXADO;EGIEC1;2026-06-16;2028-11-15;PREFIXADO + 10,9000%;--;ENGIE BRASIL ENERGIA S.A. (*);14.0849;13.3707;13.8182;0.25;13.56;14.07;1217.627888;93.93;607.0
IPCA SPREAD;EGVG21;2026-06-16;2029-10-15;IPCA + 3,7000%;--;ENEL GREEN POWER VOLTA GRANDE S.A.;8.4350;8.1207;8.2713;0.06;8.20;8.33;555.732209;92.87;425.0
DI SPREAD;EKTRA4;2026-06-16;2032-02-08;DI + 0,8000%;--;ELEKTRO REDES S.A. (*);0.7987;0.6268;0.7317;0.05;0.68;0.78;1052.690590;100.25;963.0
IPCA SPREAD;ELDC15;2026-06-16;2035-10-15;IPCA + 7,7950%;--;ELDORADO BRASIL CELULOSE S.A. (*);9.3125;9.0748;9.1887;0.16;9.02;9.35;971.120140;92.40;1536.0
DI SPREAD;ELET25;2026-06-16;2031-04-15;DI + 1,0000%;--;CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*);0.7733;0.5098;0.6852;0.08;0.59;0.77;1035.156044;101.10;885.0
IPCA SPREAD;ELTN15;2026-06-16;2031-04-15;IPCA + 6,3423%;--;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*);8.1874;7.8944;8.0129;0.10;7.90;8.11;1050.923697;93.71;1045.0
DI SPREAD;ELTN16;2026-06-16;2031-09-15;DI + 0,8500%;5%;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*);0.8791;0.5640;0.7153;0.09;0.62;0.80;1041.227347;100.49;929.0
DI SPREAD;ELTN19;2026-06-16;2032-11-15;DI + 0,6500%;45%;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*);0.8938;0.5969;0.6950;0.08;0.60;0.78;1009.871001;99.80;1086.0
IPCA SPREAD;ELTN37;2026-06-16;2035-07-15;IPCA + 7,2083%;35%;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*);7.9667;7.6492;7.7479;0.15;7.59;7.90;1039.458252;96.73;1658.0
PREFIXADO;ENAT23;2026-06-16;2030-06-15;PREFIXADO + 13,5733%;--;3R PETROLEUM OLEO E GAS S.A. (*);;14.6288;14.9023;0.71;14.19;15.61;963.880810;96.33;805.0
PREFIXADO;ENERB6;2026-06-16;2032-05-15;PREFIXADO + 13,7000%;--;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A. (*);14.3768;13.9210;14.2004;0.15;14.04;14.35;992.243789;98.16;1058.0
