Prefixo;name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund
consultoria;IBIUNA HEDGE STH FICFIM ACCESS,26822047000124,BR02G2CTF004,5033853,2017-04-11T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Macro,CDI,true,5000,1000,5000,13:40,13:40,D+0,D+30,D+31,D+0,0.7000000000000001,,,-0.1931772,0.2341596,0.43208810000000003,,,false,false
consultoria;Solis Capital Antares Pioneiro FICFIDC,55318040000178,,10353369,2024-06-06T00:00:00.000-0300,BRL,false,SOLIS INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Direitos Creditórios,FIDC Outros,CDI,true,100,100,100,15:20,15:20,D+0,D+59,D+60,D+0,0.08,,20,0.061784900000000004,0.7111982,5.7090653,CREDITO_ESTRUTURADO_1,,false,false
consultoria;AZ QUEST SUPRA FICFIM CrPr,36352498000107,,4053451,2020-06-15T00:00:00.000-0300,BRL,false,AZ QUEST MZK INVESTIMENTOS MACRO E CREDITO LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,1000,500,500,14:10,14:10,D+0,D+59,D+60,D+0,1.2,,20,0.0674045,1.1314851,3.4491999,CREDITO_POS,,false,false
consultoria;BTG MOBIUS EMERGING MARKETS FIM IE,31964074000171,,3851781,2018-12-11T00:00:00.000-0300,USD,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercados Investimento no Exterior,-,true,5000,5000,5000,15:00,15:00,D+1,D+2,D+5,D+0,1,,,-0.5652222,2.1645285,9.7328239,LONG_ONLY,,false,false
consultoria;ABSOLUTE ATENAS P FICFIRF CrPr,47612663000120,,6734529,2022-10-28T00:00:00.000-0300,BRL,false,ABSOLUTE CREDITO GESTAO DE INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,0,0,0,15:20,15:20,D+0,D+0,D+1,D+0,0.38,,0,0.0540204,0.7327868,4.8579611,CREDITO_POS,,false,false
consultoria;Plural Debent Inc Hedge CrPr 30 FICFIM,30178843000143,BR01AGCTF005,1829935,2019-04-01T00:00:00.000-0300,BRL,false,PLURAL GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,Renda Fixa Crédito Livre,CDI,true,100,100,100,14:10,14:10,D+0,D+30,D+31,D+0,1,,20,0.0205187,0.4070778,3.4784038,CREDITO_POS,,false,false
consultoria;SUL AMERICA RETORNO TOTAL FIRF LP,23502654000119,BRSLR9CTF001,7158841,2022-01-21T00:00:00.000-0300,BRL,false,SUL AMERICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre soberano,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+4,D+5,D+0,1.2,,20,0.0269668,0.5153275,4.0304109,ATIVO,,false,false
consultoria;JGP SELECT PREMIUM FIM CrPr IE,26525450000191,BRJGS6CTF004,1956864,2017-01-19T00:00:00.000-0300,BRL,false,JGP GESTAO DE CREDITO LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores profissionais,Multimercados,Multimercados Investimento no Exterior,CDI,true,10000,1000,5000,14:10,14:10,D+0,D+0,D+1,D+0,1.3,,20,-0.1275225,0.6448776,4.205811,CREDITO_POS,,false,false
consultoria;KAPITALO STRATA LOW VOL FIM,63104903000132,BR0QFWCTF004,17804247,2026-04-06T00:00:00.000-0300,BRL,false,KAPITALO INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,500,100,100,14:40,14:40,D+0,D+0,D+2,D+0,0.65,,20,0.020824,0.46324499999999996,2.2502245,,,false,false
consultoria;Valora Vanguard FIC FIDC,59657690000107,,13089602,2025-03-10T00:00:00.000-0300,BRL,false,VALORA RENDA FIXA LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Direitos Creditórios,Direitos Creditórios,CDI,true,100,100,100,14:40,14:40,D+0,D+43,D+45,D+0,1,,20,0.0580672,0.6951302,5.6496495,CREDITO_ESTRUTURADO_1,,false,false
consultoria;BTG CRED CORP DINAMICO FICFIRF CrPr,50877951000111,BR0FR1CTF002,7907040,2023-06-01T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,100,100,100,15:20,15:20,D+0,D+10,D+11,D+0,0.7000000000000001,,20,-0.09387910000000001,0.7201252,5.4346006,CREDITO_POS,,false,false
consultoria;ATHENA TOTAL RETURN II FICFIA,23186344000132,,1643994,2015-09-29T00:00:00.000-0300,BRL,false,SUL AMERICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,1000,1,0,15:20,15:20,D+1,D+30,D+32,D+0,3,,,-1.0175605,-5.6457546,-1.6240065000000001,LONG_BIASED,,false,false
consultoria;NORD 10X FIA,51681170000110,BR0GIQCTF001,8646874,2023-09-04T00:00:00.000-0300,BRL,false,NORD GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Índice Ativo,IBOVESPA,true,0,1,0,15:20,15:20,D+1,D+30,D+32,D+0,1.5,,20,-1.2128193,-11.9215212,-10.7136312,LONG_ONLY,,false,false
consultoria;IP ATLAS USD FICFIA RL,35939847000110,,2866737,2020-03-27T00:00:00.000-0300,USD,false,INVESTIDOR PROFISSIONAL GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,1000,100,0,14:10,14:10,D+1,D+10,D+14,D+0,1.5,,15,0.2319057,2.5080698,-13.6421917,LONG_ONLY,,false,false
consultoria;MANTARO EQUITY HEDGE FIM,45653398000101,BR0BTDCTF007,5967814,2022-04-22T00:00:00.000-0300,BRL,false,MANTARO CAPITAL LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,500,500,500,15:20,15:20,D+0,D+30,D+31,D+0,1.2,,20,-0.26749660000000003,-1.5176669,5.4122749,LONG_SHORT,,false,false
